,0
0,-0.009396732510237227
1,-0.028829526816486362
2,-0.10806871061166703
3,-0.23129794901997067
4,-0.37794781850180453
5,-0.5360525461387926
6,-0.6607037397220357
7,-0.7585352879962546
8,-0.8638436211576329
9,-1.0075323398615117
10,-1.171475893362309
11,-1.3403029364841346
12,-1.4935198641519098
13,-1.6345280727404923
14,-1.774620635809662
15,-1.9209264365270018
16,-2.0719184375942485
17,-2.221779819636695
18,-2.3697746253505096
19,-2.51107732960689
20,-2.6441468306895284
21,-2.773384787241191
22,-2.899007051201625
23,-3.018537494309498
24,-3.13193862528363
25,-3.2368989117916773
26,-3.333038369832748
27,-3.420666933246936
28,-3.4992020896793443
29,-3.567967706641312
30,-3.626858203496875
31,-3.675640766918981
32,-3.7138703286166987
33,-3.7412462346670874
34,-3.7574511054637667
35,-3.762132426301159
36,-3.75496434845136
37,-3.735635361359822
38,-3.7038302978646285
39,-3.659234246429024
40,-3.6015020866281455
41,-3.530277824626081
42,-3.4452646900343056
43,-3.3773675222490143
44,-3.418615547444401
45,-3.450854639939889
46,-3.4737547938542344
47,-3.487295961567955
48,-3.4910994291528556
49,-3.484020203711456
50,-3.465346800434294
51,-3.4340199358759116
52,-3.389239505563238
53,-3.3298926262801647
54,-3.255330475327186
55,-3.1656846892969517
56,-3.061471865262507
57,-2.9431238060520735
58,-2.810813028698286
59,-2.6645063576169052
60,-2.5040882287346067
61,-2.329446149284172
62,-2.140512684310705
63,-2.1444057152571143
64,-2.6063766160109205
65,-3.1081115639974404
66,-3.6624236058386255
67,-4.266643176393231
68,-4.912705744194451
69,-5.470695096327454
70,-6.1817096631242645
71,-6.8774838718046585
72,-7.385235176396216
73,-7.580035235361086
74,-7.385589069425068
75,-6.420077004249725
76,-4.363410338324059
77,-4.346113719682037
78,-5.471183632083853
79,-9.973100084502
80,-17.615844333619542
81,-26.51168871028874
82,-36.926284028547244
83,-48.62663558080539
84,-59.49392142333531
85,-39.445074622303316
86,-49.16426445546018
87,-66.76275022089585
88,-78.61743361277543
89,-85.34200675105866
90,-87.54579331098945
91,-85.82201366680411
92,-80.72218217249987
93,-82.03986634705817
94,-90.37885168112459
95,-96.77661537182874
96,-100.94789593271126
97,-102.60105472656093
98,-101.25931587550625
99,-96.54976390396398
100,-88.19297109512794
101,-75.56109265338772
102,-73.15252732683243
103,-93.47133141464492
104,-113.75908143787737
105,-133.67040225484422
106,-121.32599109368186
107,-108.79378541334938
108,-96.7035071606879
109,-85.16859010855943
110,-74.22078785636339
111,-63.89713446237465
112,-54.28911247302919
113,-45.46219268603343
114,-37.44490494241086
115,-30.292403195816963
116,-24.08649382489169
117,-18.879286082069687
118,-25.33870571324439
119,-37.84226715979342
120,-51.1417173780673
121,-63.51380676036298
122,-42.71090105033256
123,-68.02044041580733
124,-86.49177623756826
125,-98.67019581100462
126,-105.18810612454479
127,-106.67167507344575
128,-103.71744884422068
129,-96.93979007601565
130,-103.97088652430284
131,-113.72825350118059
132,-121.16065682081525
133,-125.78391116741265
134,-126.69297039470587
135,-123.8419632159615
136,-116.94035918063207
137,-104.85634755026012
138,-87.1309625846868
139,-91.32745761009147
140,-116.02302117287357
141,-140.64115560716988
142,-141.9377200080383
143,-130.1023577091501
144,-118.48930847008661
145,-107.18445908076212
146,-96.21056730269153
147,-85.5866977099273
148,-75.37121417175581
149,-65.62337989743116
150,-56.3544345229223
151,-56.91235501984159
152,-57.90245564829603
153,-58.57154985529174
154,-58.89131763672215
155,-58.848201988463856
156,-58.5366796525668
157,-58.01159889461864
158,-57.23441539938738
159,-56.2468489717842
160,-55.12465860479679
161,-53.839177958394274
162,-52.401864265065996
163,-51.98672108947964
164,-50.359866212312056
165,-48.52045492150483
166,-46.7380550838024
167,-45.023706260603234
168,-43.133130538503394
169,-41.24736486961506
170,-39.60569970157081
171,-37.98270577347429
172,-36.49113056691791
173,-36.83533486247394
174,-37.12445974556213
175,-37.186755030455224
176,-36.99051347415886
177,-36.78422613251305
178,-36.604675650592874
179,-36.24393976528969
180,-35.689637098160595
181,-35.170349472074896
182,-34.70524613792832
183,-34.11185922727438
184,-33.376810818482575
185,-32.68829262338523
186,-32.013289210069885
187,-31.305522112235572
188,-30.50562812691505
189,-29.737110833061863
190,-28.97122090051404
191,-28.146745297090057
192,-27.335290896554046
193,-26.511422670335513
194,-25.72749715766953
195,-24.94348764957743
196,-24.136272422554924
197,-23.324951751809813
198,-22.51779019705038
199,-21.716987268660006
200,-20.930893364227906
201,-20.157142930313153
202,-19.382165632816747
203,-18.61294921057684
204,-17.854743381558762
205,-17.112391223165382
206,-16.37873195246832
207,-15.653317569156535
208,-14.942189136266684
209,-14.246237142480847
210,-13.563061443217423
211,-12.89303433321975
212,-12.238118070786664
213,-11.598652532340566
214,-10.974253462546805
215,-10.365374182401501
216,-9.772491784493694
217,-9.195731409475139
218,-8.635045782968177
219,-8.090342089180798
220,-7.561528896400982
221,-7.048515205040544
222,-6.551219710537705
223,-6.069578174434285
224,-5.603542168918355
225,-5.153070555895276
226,-4.718118930827789
227,-4.298642007986001
228,-3.8945917257959755
229,-3.505922845584471
230,-3.1321423557283725
231,-2.769246125895352
232,-2.4242609883533177
233,-2.3905022625760406
234,-2.4806287562493727
235,-2.56548571209938
236,-2.6494544619528013
237,-2.7336925682313153
238,-2.816996476730248
239,-2.898740883092415
240,-2.9797177912223507
241,-3.0607028742465867
242,-3.1415879561189803
