,0
0,-0.022201303906030558
1,-0.36947225165014513
2,-0.48912944307396766
3,-0.5903371107214483
4,-1.3441015982760676
5,-2.143419097451291
6,-2.5246923544619113
7,-3.2391458437653666
8,-4.704181858900798
9,-6.247203730166735
10,-8.099440943276196
11,-10.001856901594515
12,-11.231299440058773
13,-13.218564386995709
14,-21.085783241014603
15,-32.306645157509976
16,-42.14950008430958
17,-52.94180664942685
18,-62.407773306816054
19,-67.4700783760967
20,-69.30144070413165
21,-64.94599072063679
22,-49.94987426922805
23,-30.799328368800275
24,-39.02167934157992
25,-46.08220343829936
26,-66.17492643737987
27,-115.07644023748063
28,-171.1534564706451
29,-231.84913783436212
30,-288.7443556701671
31,-335.8078277126913
32,-386.42110673598313
33,-439.29076176157537
34,-482.3790981457952
35,-523.3418117671081
36,-565.6352792516375
37,-603.9611875021774
38,-641.3776278389147
39,-678.5847699983003
40,-714.8329348727228
41,-753.7123914025885
42,-794.0734942087593
43,-834.5462433355127
44,-882.4441442861103
45,-886.990419421213
46,-781.8058120322619
47,-732.8089865026959
48,-835.02631252252
49,-909.6414336159644
50,-959.3305122280875
51,-986.3797341002937
52,-990.8187363902913
53,-974.8283993254341
54,-943.5197725557393
55,-898.9971806240271
56,-838.6464189951578
57,-760.3908507931499
58,-665.2148345124564
59,-579.0131875598694
60,-641.2180892924
61,-690.7612180619317
62,-729.2635983714997
63,-758.2621436392828
64,-768.9782688228148
65,-759.2813693778755
66,-727.1681114885434
67,-665.4661857124258
68,-639.9479188785699
69,-651.869223894975
70,-699.3307071819935
71,-740.5484547621735
72,-775.2218497286811
73,-803.6797084992262
74,-826.2056829792638
75,-842.5650403636923
76,-853.6900315155178
77,-861.1017096678075
78,-865.6519070442046
79,-867.4441844368661
80,-865.8541490701041
81,-860.267462192808
82,-850.4885383504455
83,-836.6769644520841
84,-819.9515385919858
85,-801.3709873264554
86,-780.7747404958435
87,-758.508942893244
88,-734.758318643577
89,-708.6870184232935
90,-680.6062845087864
91,-651.0331269521758
92,-618.9912199136298
93,-584.3124362213305
94,-547.8115885186943
95,-509.1370693263387
96,-468.67531338857026
97,-426.9475422361977
98,-382.7755740437375
99,-335.22411461070635
100,-284.41600576914607
101,-230.73092265619528
102,-188.64885065664845
103,-214.87328294243235
104,-235.81716445643895
105,-253.2398694845511
106,-265.94761632522057
107,-274.5615614556546
108,-277.5764736256143
109,-276.3299838324764
110,-290.23609753632513
111,-345.2684697401189
112,-394.861595207924
113,-435.3151233632541
114,-467.43985788304764
115,-492.16238657919286
116,-510.3824271134821
117,-521.9849658531137
118,-527.2639619360184
119,-528.0965829782039
120,-526.2705884821909
121,-522.7491336406376
122,-518.2654694267972
123,-512.966418670775
124,-506.50314545683364
125,-498.4583828440178
126,-488.6260227973516
127,-476.7571928812185
128,-462.965660193309
129,-447.9946823085818
130,-431.86866886530066
131,-414.64487280630027
132,-396.06814129483666
133,-374.42925741963836
134,-348.9779229785619
135,-320.7215027790787
136,-290.4536844497668
137,-258.5644550854229
138,-224.85053765264666
139,-211.68546040164105
140,-253.32604859491516
141,-292.9096932896832
142,-331.78644403401574
143,-368.0945133705137
144,-398.83297080148975
145,-425.64783976282195
146,-452.4414591909683
147,-476.3175606244295
148,-498.6258593520725
149,-518.7262198505796
150,-534.9337151533722
151,-553.7098344211772
152,-574.9685303628058
153,-589.0906795106263
154,-598.8850033012317
155,-620.1678765449407
156,-668.2050645503203
157,-709.6359650905622
158,-745.9582929136606
159,-778.2849396604805
160,-806.6958876109028
161,-830.8842006221262
162,-850.817737311101
163,-865.7171014837447
164,-875.2235416560987
165,-879.4642595298977
166,-878.187834390134
167,-871.7843980915027
168,-861.7421804661287
169,-849.6560130142595
170,-835.9356836204574
171,-820.0946944616235
172,-802.1412850411796
173,-782.2158957249181
174,-760.097247953943
175,-735.5526845760999
176,-708.4574954209298
177,-679.1349766087328
178,-648.13770306959
179,-615.2994869462779
180,-581.3650954234135
181,-546.9129749935555
182,-511.1226194971134
183,-473.6072223935206
184,-433.82577681510065
185,-390.68867777815365
186,-344.39435962261246
187,-295.3229230836811
188,-243.65095566351158
189,-191.5886311893447
190,-225.89251974308164
191,-252.951855927928
192,-273.2287918306118
193,-287.60687339191855
194,-295.8237082662953
195,-300.17643656548705
196,-301.30058702558784
197,-296.4946517759519
198,-341.83491956642564
199,-394.70543405836605
200,-438.24228753054234
201,-473.2866611749447
202,-501.004208055238
203,-522.1605202276899
204,-536.9707581912883
205,-545.8921943163491
206,-549.9059744612935
207,-550.0153839201141
208,-547.5837033969746
209,-543.4963770761049
210,-537.7964931744715
211,-531.1770331040589
212,-524.5168015252277
213,-517.5372589313046
214,-509.50778807436865
215,-499.2005503206947
216,-486.0372170161262
217,-470.50243118319156
218,-453.47851751852846
219,-435.63673257160383
220,-415.9520330020389
221,-393.20266367145564
222,-368.52592941211805
223,-342.77318528605895
224,-314.44213063855
225,-282.895322781097
226,-247.9502570858393
227,-209.4785331190559
228,-260.4419699149664
229,-307.16141344121706
230,-345.11760813969045
231,-376.57508520678925
232,-404.0598619373168
233,-429.60973542154863
234,-451.60276315192607
235,-469.9775310505563
236,-485.69598801526047
237,-501.4447197621979
238,-523.0825020549725
239,-544.6918574827034
240,-560.1379557981535
241,-570.6126474844461
242,-589.7701702904601
243,-637.9041719954016
244,-679.5317245796915
245,-715.0361780869512
246,-745.4114804363023
247,-771.566973404611
248,-793.6156503977646
249,-812.2157845860911
250,-826.6632292799712
251,-836.0151489899229
252,-841.1252079693166
253,-841.8486410588057
254,-837.9998822589309
255,-831.0057838531324
256,-821.0994538936025
257,-807.7601764103337
258,-791.6297078752058
259,-773.2801120045941
260,-752.9647777465958
261,-731.1212277806433
262,-707.1228407197855
263,-680.4201457887971
264,-651.9545313000348
265,-622.1758094924668
266,-590.9555512640909
267,-558.9137826925962
268,-525.5521675624478
269,-489.44103577940507
270,-451.0276509332931
271,-410.7300715334926
272,-367.94989322345424
273,-322.65868790462537
274,-274.7178475199365
275,-223.53832383335262
276,-199.75594214886303
277,-228.6428682257655
278,-249.37894957604288
279,-267.4297680526487
280,-286.0878554255996
281,-295.9241078727405
282,-297.2380505050551
283,-296.5071759683166
284,-301.30656990288753
285,-357.2109975325663
286,-407.61973297455137
287,-448.3313993363155
288,-480.7014266815373
289,-505.89324215905447
290,-524.9650179817446
291,-538.1540205845487
292,-545.4641036364014
293,-547.7453000972087
294,-546.5397922317385
295,-543.3397974070657
296,-538.8335946943288
297,-533.1567225763168
298,-526.6052735283894
299,-519.1081837841735
300,-510.3358463065837
301,-499.7742724117787
